1,Insertion Sort,Testset,0,0,0,true
2,Insertion Sort,Testset,1,0,0,true
3,Insertion Sort,Testset,1,0,1,true
4,Insertion Sort,Testset,2,0,1,true
5,Insertion Sort,Testset,3,0,1,true
6,Insertion Sort,Testset,3,0,2,true
7,Insertion Sort,Testset,3,0,3,true
8,Insertion Sort,Testset,3,1,2,true
9,Insertion Sort,Testset,3,1,3,true
10,Insertion Sort,Testset,3,2,3,true
11,Insertion Sort,Testset,8,0,0,true
12,Insertion Sort,Testset,8,0,1,true
13,Insertion Sort,Testset,8,0,2,true
14,Insertion Sort,Testset,8,0,3,true
15,Insertion Sort,Testset,8,0,4,true
16,Insertion Sort,Testset,8,1,1,true
17,Insertion Sort,Testset,8,1,2,true
18,Insertion Sort,Testset,8,1,3,true
19,Insertion Sort,Testset,8,1,4,true
20,Insertion Sort,Testset,8,0,8,true
21,Insertion Sort,Testset,8,0,7,true
22,Insertion Sort,Testset,8,1,8,true
23,Insertion Sort,Testset,8,1,7,true
24,Insertion Sort,Testset,8,2,7,true
25,Insertion Sort,Testset,8,2,8,true
26,Insertion Sort,Testset,8,3,6,true
27,Insertion Sort,Testset,8,3,7,true
28,Insertion Sort,Testset,8,3,8,true
29,Insertion Sort,Testset,8,4,8,true
30,Insertion Sort,Testset,8,5,8,true
31,Insertion Sort,Testset,8,6,8,true
32,Insertion Sort,Testset,8,7,8,true
33,Insertion Sort,Testset,8,8,8,true
34,Insertion Sort,Testset,0,0,0,false
35,Insertion Sort,Testset,1,0,0,false
36,Insertion Sort,Testset,1,0,1,false
37,Insertion Sort,Testset,2,0,1,false
38,Insertion Sort,Testset,3,0,1,false
39,Insertion Sort,Testset,3,0,2,false
40,Insertion Sort,Testset,3,0,3,false
41,Insertion Sort,Testset,3,1,2,false
42,Insertion Sort,Testset,3,1,3,false
43,Insertion Sort,Testset,3,2,3,false
44,Insertion Sort,Testset,8,0,0,false
45,Insertion Sort,Testset,8,0,1,false
46,Insertion Sort,Testset,8,0,2,false
47,Insertion Sort,Testset,8,0,3,false
48,Insertion Sort,Testset,8,0,4,false
49,Insertion Sort,Testset,8,1,1,false
50,Insertion Sort,Testset,8,1,2,false
51,Insertion Sort,Testset,8,1,3,false
52,Insertion Sort,Testset,8,1,4,false
53,Insertion Sort,Testset,8,0,8,false
54,Insertion Sort,Testset,8,0,7,false
55,Insertion Sort,Testset,8,1,8,false
56,Insertion Sort,Testset,8,1,7,false
57,Insertion Sort,Testset,8,2,7,false
58,Insertion Sort,Testset,8,2,8,false
59,Insertion Sort,Testset,8,3,6,false
60,Insertion Sort,Testset,8,3,7,false
61,Insertion Sort,Testset,8,3,8,false
62,Insertion Sort,Testset,8,4,8,false
63,Insertion Sort,Testset,8,5,8,false
64,Insertion Sort,Testset,8,6,8,false
65,Insertion Sort,Testset,8,7,8,false
66,Insertion Sort,Testset,8,8,8,false
