963.27,819.35
981.93,101.71
793.9,650.79
839.41,973.9
835.26,15.26
846.94,601.98
993.33,835.52
866.3,745.87
981.93,597.94
941.01,13.45
991.92,591.44
998.47,952.93
765.34,24.84
929.4,849.2
841.81,509.12
988.67,232.69
673.21,632.11
971.25,981.83
970.86,255.46
982.78,207.74
824.1,173.25
974.98,108.82
802.93,74.54
949.74,142.6
607.63,503.94
919.68,187.39
855.86,430.05
999.26,957.45
986.08,609.87
618.96,833.63
948.8,876.09
820.85,217.83
887.72,305.19
961.64,208.68
966.96,322.83
881.64,683.85
685.23,559.74
884.37,948.21
937.59,695.35
791.82,779.06
956.53,605.11
508.89,927.29
849.67,419.11
753.4,981.47
865.78,49.1
849.52,450.21
995.39,449.93
814.33,858.61
938.83,954.2
994.45,656.09
946.57,434.07
859.58,637.01
942.01,677.35
593.82,462.76
965.35,383.97
820.9,819.48
954.01,751.94
961.66,508.14
903.19,638.11
979.64,34.27
898.41,858.35
951.91,264.28
924.29,288.03
748.11,746.42
864.84,584.43
968.79,749.08
712.29,844.14
755.26,56.81
937.59,185.8
983.95,50.48
791.63,282.45
931.01,334.88
969.4,228.78
887.6,380.72
680.38,353.58
938.67,673.22
945.61,535.49
939.77,878.19
783.14,147.23
860.28,695.69
999.4,703.18
923.44,225.66
885.27,978.73
895.3,319.74
941.94,920.74
916.89,988.9
971.5,868.31
752.46,752.36
989.4,492.13
578.2,538.84
963.48,177.44
868.79,63.28
795.95,246.46
931.89,154.23
866.66,611.64
822.62,399.25
990.63,775.23
722.92,937.11
999.75,707.65
876.48,967.9
926.3,544.4
692.72,145.22
907.39,392.06
938.4,862.92
841.58,858.07
985.98,340.09
905.8,543.57
971.78,100.8
898.83,567.48
982.18,268.67
968.89,653.15
967.67,407.81
928.01,576.77
965.48,209.46
892.4,493.57
961.67,612.69
816.02,405.37
911.24,993.78
874.95,325.92
953.95,624.01
903.01,703.05
897.97,907.64
947.42,181.99
962.93,789.86
963.99,641.72
897.34,886.78
911.03,132.18
999.18,920.53
984.99,304.83
654.5,201.98
853.84,255.34
875.4,614.99
995.64,126.78
877.41,500.23
950.79,72.51
845.04,140.23
933.58,124.85
980.15,66.77
996.44,500.67
875.96,32.06
991.53,308.07
816.07,208.13
974.55,367.9
959.84,393.63
972.17,940.21
800.07,487.76
484.1,403.41
792.55,501.48
969.81,597.49
820.24,819.73
964.95,342.22
962.77,506.31
933.79,600.75
991.35,514.41
983.69,317.93
785.41,462.66
988.16,359.77
802,855.73
989.85,757.19
775.46,627.19
885.02,698.29
939.45,327.28
997.96,936.72
899.31,723.67
984.4,717.68
965.16,255.78
850.27,11.49
822.13,909.22
851.97,299.8
836.57,290.81
964.45,889.21
919.34,97.81
883.01,22.96
997.6,614.33
904.82,592.69
826.46,748.91
687.24,593.1
993.44,32.44
887.68,211.87
861.58,485.79
