#heuristic3.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h3,117062,cyc_0020-02.txt,20,46,14000,0,,0
h3,117063,cyc_0020-02.txt,20,46,3500,0,,0
h3,117064,cyc_0020-02.txt,20,46,1500,0,,0
h3,117065,cyc_0020-02.txt,20,46,1200,0,,0
h3,117066,cyc_0020-02.txt,20,46,900,0,,0
h3,117067,cyc_0020-02.txt,20,46,700,0,,0
h3,117068,cyc_0020-02.txt,20,46,900,0,,0
h3,117069,cyc_0020-02.txt,20,46,2000,0,,0
h3,117070,cyc_0020-02.txt,20,46,2200,0,,0
h3,117071,cyc_0020-02.txt,20,46,2000,0,,0
h3,117072,cyc_0020-02.txt,20,46,1800,0,,0
h3,117073,cyc_0020-02.txt,20,46,2200,0,,0
h3,117074,cyc_0020-02.txt,20,46,2700,0,,0
h3,117075,cyc_0020-02.txt,20,46,2100,0,,0
h3,117076,cyc_0020-02.txt,20,46,2100,0,,0
h3,117077,cyc_0020-02.txt,20,46,2000,0,,0
h3,117078,cyc_0020-02.txt,20,46,2000,0,,0
h3,117079,cyc_0020-02.txt,20,46,2000,0,,0
h3,117080,cyc_0020-02.txt,20,46,1500,0,,0
h3,117081,cyc_0020-02.txt,20,46,4100,0,,0
h3,117082,cyc_0020-03.txt,20,59,3600,0,,0
h3,117083,cyc_0020-03.txt,20,59,2000,0,,0
h3,117084,cyc_0020-03.txt,20,59,1700,0,,0
h3,117085,cyc_0020-03.txt,20,59,1700,0,,0
h3,117086,cyc_0020-03.txt,20,59,1700,0,,0
h3,117087,cyc_0020-03.txt,20,59,1500,0,,0
h3,117088,cyc_0020-03.txt,20,59,1300,0,,0
h3,117089,cyc_0020-03.txt,20,59,1500,0,,0
h3,117090,cyc_0020-03.txt,20,59,1400,0,,0
h3,117091,cyc_0020-03.txt,20,59,1300,0,,0
h3,117092,cyc_0020-03.txt,20,59,1500,0,,0
h3,117093,cyc_0020-03.txt,20,59,1200,0,,0
h3,117094,cyc_0020-03.txt,20,59,1200,0,,0
h3,117095,cyc_0020-03.txt,20,59,1400,0,,0
h3,117096,cyc_0020-03.txt,20,59,1400,0,,0
h3,117097,cyc_0020-03.txt,20,59,1600,0,,0
h3,117098,cyc_0020-03.txt,20,59,1600,0,,0
h3,117099,cyc_0020-03.txt,20,59,1600,0,,0
h3,117100,cyc_0020-03.txt,20,59,1700,0,,0
h3,117101,cyc_0020-03.txt,20,59,1300,0,,0
h3,117102,cyc_0020-15.txt,20,275,3800,0,,0
h3,117103,cyc_0020-15.txt,20,275,3300,0,,0
h3,117104,cyc_0020-15.txt,20,275,2000,0,,0
h3,117105,cyc_0020-15.txt,20,275,1300,0,,0
h3,117106,cyc_0020-15.txt,20,275,1300,0,,0
h3,117107,cyc_0020-15.txt,20,275,1400,0,,0
h3,117108,cyc_0020-15.txt,20,275,1200,0,,0
h3,117109,cyc_0020-15.txt,20,275,1100,0,,0
h3,117110,cyc_0020-15.txt,20,275,1500,0,,0
h3,117111,cyc_0020-15.txt,20,275,1800,0,,0
h3,117112,cyc_0020-15.txt,20,275,1300,0,,0
h3,117113,cyc_0020-15.txt,20,275,1500,0,,0
h3,117114,cyc_0020-15.txt,20,275,1500,0,,0
h3,117115,cyc_0020-15.txt,20,275,1400,0,,0
h3,117116,cyc_0020-15.txt,20,275,1700,0,,0
h3,117117,cyc_0020-15.txt,20,275,1200,0,,0
h3,117118,cyc_0020-15.txt,20,275,1100,0,,0
h3,117119,cyc_0020-15.txt,20,275,1300,0,,0
h3,117120,cyc_0020-15.txt,20,275,1300,0,,0
h3,117121,cyc_0020-15.txt,20,275,1000,0,,0
h3,117122,cyc_0030-03.txt,30,96,4700,0,,0
h3,117123,cyc_0030-03.txt,30,96,1900,0,,0
h3,117124,cyc_0030-03.txt,30,96,1200,0,,0
h3,117125,cyc_0030-03.txt,30,96,1200,0,,0
h3,117126,cyc_0030-03.txt,30,96,1100,0,,0
h3,117127,cyc_0030-03.txt,30,96,900,0,,0
h3,117128,cyc_0030-03.txt,30,96,900,0,,0
h3,117129,cyc_0030-03.txt,30,96,1300,0,,0
h3,117130,cyc_0030-03.txt,30,96,1000,0,,0
h3,117131,cyc_0030-03.txt,30,96,1000,0,,0
h3,117132,cyc_0030-03.txt,30,96,1000,0,,0
h3,117133,cyc_0030-03.txt,30,96,1800,0,,0
h3,117134,cyc_0030-03.txt,30,96,1400,0,,0
h3,117135,cyc_0030-03.txt,30,96,1100,0,,0
h3,117136,cyc_0030-03.txt,30,96,17300,0,,0
h3,117137,cyc_0030-03.txt,30,96,1100,0,,0
h3,117138,cyc_0030-03.txt,30,96,1200,0,,0
h3,117139,cyc_0030-03.txt,30,96,1300,0,,0
h3,117140,cyc_0030-03.txt,30,96,1300,0,,0
h3,117141,cyc_0030-03.txt,30,96,1700,0,,0
h3,117142,cyc_0030-03.txt,30,96,1300,0,,0
h3,117143,cyc_0030-03.txt,30,96,1900,0,,0
h3,117144,cyc_0030-03.txt,30,96,1500,0,,0
h3,117145,cyc_0030-03.txt,30,96,21600,0,,0
h3,117146,cyc_0030-03.txt,30,96,2000,0,,0
h3,117147,cyc_0030-03.txt,30,96,1400,0,,0
h3,117148,cyc_0030-03.txt,30,96,1500,0,,0
h3,117149,cyc_0030-03.txt,30,96,1500,0,,0
h3,117150,cyc_0030-03.txt,30,96,1700,0,,0
