#heuristic1.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h1,62,cyc_0020-02.txt,20,46,46400,0,,0
h1,63,cyc_0020-02.txt,20,46,6100,0,,0
h1,64,cyc_0020-02.txt,20,46,4500,0,,0
h1,65,cyc_0020-02.txt,20,46,4100,0,,0
h1,66,cyc_0020-02.txt,20,46,4500,0,,0
h1,67,cyc_0020-02.txt,20,46,2600,0,,0
h1,68,cyc_0020-02.txt,20,46,2800,0,,0
h1,69,cyc_0020-02.txt,20,46,8600,0,,0
h1,70,cyc_0020-02.txt,20,46,3500,0,,0
h1,71,cyc_0020-02.txt,20,46,3500,0,,0
h1,72,cyc_0020-02.txt,20,46,3300,0,,0
h1,73,cyc_0020-02.txt,20,46,2800,0,,0
h1,74,cyc_0020-02.txt,20,46,2800,0,,0
h1,75,cyc_0020-02.txt,20,46,2800,0,,0
h1,76,cyc_0020-02.txt,20,46,3000,0,,0
h1,77,cyc_0020-02.txt,20,46,2800,0,,0
h1,78,cyc_0020-02.txt,20,46,3100,0,,0
h1,79,cyc_0020-02.txt,20,46,2200,0,,0
h1,80,cyc_0020-02.txt,20,46,2300,0,,0
h1,81,cyc_0020-02.txt,20,46,2600,0,,0
h1,82,cyc_0020-03.txt,20,59,3800,0,,0
h1,83,cyc_0020-03.txt,20,59,2700,0,,0
h1,84,cyc_0020-03.txt,20,59,2400,0,,0
h1,85,cyc_0020-03.txt,20,59,2400,0,,0
h1,86,cyc_0020-03.txt,20,59,2500,0,,0
h1,87,cyc_0020-03.txt,20,59,2600,0,,0
h1,88,cyc_0020-03.txt,20,59,2400,0,,0
h1,89,cyc_0020-03.txt,20,59,2400,0,,0
h1,90,cyc_0020-03.txt,20,59,2400,0,,0
h1,91,cyc_0020-03.txt,20,59,2700,0,,0
h1,92,cyc_0020-03.txt,20,59,2400,0,,0
h1,93,cyc_0020-03.txt,20,59,2500,0,,0
h1,94,cyc_0020-03.txt,20,59,2400,0,,0
h1,95,cyc_0020-03.txt,20,59,2400,0,,0
h1,96,cyc_0020-03.txt,20,59,2500,0,,0
h1,97,cyc_0020-03.txt,20,59,2800,0,,0
h1,98,cyc_0020-03.txt,20,59,2500,0,,0
h1,99,cyc_0020-03.txt,20,59,2800,0,,0
h1,100,cyc_0020-03.txt,20,59,2300,0,,0
h1,101,cyc_0020-03.txt,20,59,2500,0,,0
h1,102,cyc_0020-15.txt,20,275,3800,0,,0
h1,103,cyc_0020-15.txt,20,275,3100,0,,0
h1,104,cyc_0020-15.txt,20,275,2500,0,,0
h1,105,cyc_0020-15.txt,20,275,3000,0,,0
h1,106,cyc_0020-15.txt,20,275,2300,0,,0
h1,107,cyc_0020-15.txt,20,275,2400,0,,0
h1,108,cyc_0020-15.txt,20,275,2600,0,,0
h1,109,cyc_0020-15.txt,20,275,2900,0,,0
h1,110,cyc_0020-15.txt,20,275,2600,0,,0
h1,111,cyc_0020-15.txt,20,275,2200,0,,0
h1,112,cyc_0020-15.txt,20,275,2500,0,,0
h1,113,cyc_0020-15.txt,20,275,2400,0,,0
h1,114,cyc_0020-15.txt,20,275,1724100,0,,0
h1,115,cyc_0020-15.txt,20,275,26500,0,,0
h1,116,cyc_0020-15.txt,20,275,2800,0,,0
h1,117,cyc_0020-15.txt,20,275,2400,0,,0
h1,118,cyc_0020-15.txt,20,275,2400,0,,0
h1,119,cyc_0020-15.txt,20,275,17600,0,,0
h1,120,cyc_0020-15.txt,20,275,2300,0,,0
h1,121,cyc_0020-15.txt,20,275,2500,0,,0
h1,122,cyc_0030-03.txt,30,96,3000,0,,0
h1,123,cyc_0030-03.txt,30,96,2900,0,,0
h1,124,cyc_0030-03.txt,30,96,2700,0,,0
